,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject ID,Notes,,,,E-Prime Acc: block 1,,,E-Prime Acc: block 2,,,E-Prime Acc: block 3,,,SNR (x > 1): block 1,SNR: block 2,SNR: block 3,Anticorrelation (x < 0): block 1,Anti: block 2,Anti: block 3,Sanity Check Activation,,,Final Verdicts,,,
,,,,,list,rotation,reading,list,rotation,reading,list,rotation,reading,,,,,,,block 1,block 2,block 3,Block 1,Block 2,Block 3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,F,18,Brown (pink),TRUE,6,9,10,2,10,9,2,9,9,1,1,1,1,1,1,1,q1,q1,1,1,1,
5,M,,"Black, short, thin",FALSE,8,9,10,6,10,8,4,8,9,1,1,1,1,1,1,q,1,q1,0,1,1,weird plot
6,M,21,Black,TRUE,9,10,10,3,10,9,3,9,8,1,1,1,1,1,1,q,q,q1,0,0,1,weird plot
7,F,19,Light brown,FALSE,8,10,7,6,8,8,5,9,9,1,1,1,1,1,1,q,q,1,0,0,1,weird plot
8,F,18,Light brown,FALSE,9,6,8,6,9,7,4,5,8,1,1,1,1,1,1,1,q,q,1,0,0,weird plot
9,F,19,Black,TRUE,7,9,7,7,7,9,9,9,9,1,1,1,1,1,1,q,q,1,0,0,1,weird plot
10,F,,Dark Brown,TRUE,8,10,9,7,10,9,5,9,8,1,0,1,1,0,1,1,q,q1,1,0,1,all
11,F,19,Dirty Blond,FALSE,6,8,9,3,7,10,6,7,9,1,0,1,1,1,1,1,q1,1,1,0,1,SNR
12,F,18,Blue,TRUE,10,10,10,5,10,10,4,9,9,1,1,1,1,1,1,1,1,q1,1,1,1,
13,F,,"Blond, thick",FALSE,8,10,8,6,10,9,7,9,7,1,1,0,0,1,0,1,q1,q1,0,1,0,"anti, snr"
14,F,19,Dark Brown,TRUE,7,10,10,5,9,10,8,9,8,0,1,1,1,1,1,q1,q1,q,0,0,0,weird anti
15,F,18,Light Brown,TRUE,7,10,8,9,10,8,7,9,9,1,1,1,1,1,1,1,1,1,1,1,1,
16,M,18,Blond,FALSE,8,10,9,6,10,10,5,9,8,1,1,1,1,0,1,0,q1,q1,0,0,0,"anti, plots"
17,F,19,"black, thick, shiny",TRUE,10,10,8,6,10,9,7,9,9,1,1,1,1,1,1,1,1,q,1,1,0,plots
18,M,18,"black, thick",FALSE,10,9,7,7,10,7,6,9,9,1,1,1,1,1,1,1,1,1,1,1,1,
19,F,19,black,TRUE,9,10,8,8,10,8,5,9,9,0,1,1,1,1,1,q,q1,q,0,1,0,"snr, plots"
20,F,21,dark brown,TRUE,9,10,9,9,10,8,7,7,10,1,1,0,1,1,1,q1,q,q,1,0,0,plots
21,M,19,dark brown,TRUE,8,10,8,8,9,8,5,8,9,1,1,1,1,1,1,1,1,q1,1,1,1,
22,F,18,Black,TRUE,9,9,10,7,10,10,6,9,9,1,1,1,1,1,1,1,q1,q1,1,1,1,
23,F,19,Brown,TRUE,8,9,10,6,9,8,7,7,8,1,1,1,1,1,1,1,1,q1,1,1,1,
24,F,18,Brown,TRUE,8,10,9,9,10,8,5,9,9,0,1,1,1,1,1,1,1,1,0,1,1,plots
25,F,FIXME,Dark Thick Brown,TRUE,8,10,8,6,9,9,7,8,7,1,1,1,1,1,1,1,1,1,1,1,1,
26,F,20,Black,FALSE,10,10,10,5,9,10,6,9,9,1,1,0,1,0,1,1,q,q,1,0,0,"anti, plots"
27,F,19,Brown,TRUE,8,10,9,6,8,8,4,7,9,1,1,1,1,1,1,1,q,q1,1,0,1,
28,M,19,Brown,FALSE,7,10,9,8,10,9,6,9,8,1,1,1,1,1,1,0,q,q,0,0,0,weird plots
29,F,18,Dark Brown,TRUE,10,10,10,8,10,8,8,9,9,0,0,1,1,1,1,1,q1,1,0,0,1,snr
30,F,21,Dark Brown,TRUE,9,10,9,7,10,9,10,8,9,1,0,1,1,1,1,1,1,1,1,0,1,
31,F,18,Black,TRUE,8,9,8,8,10,5,3,9,9,1,0,0,1,1,1,1,1,q1,1,0,0,
32,M,20,Light Brown,FALSE,10,10,9,8,9,8,6,9,8,1,0,1,0,0,0,1,0,q,0,0,0,anti
33,F,19,Light Brown,TRUE,10,9,8,7,10,8,7,9,7,1,1,1,1,1,1,1,1,1,1,1,1,
34,F,FIXME,Dark Brown / Thick,TRUE,9,10,9,7,9,8,7,9,9,1,0,0,1,1,1,1,q,q1,1,0,1,snr
35,M,20,Brown,TRUE,9,10,10,8,9,10,5,9,9,1,1,1,1,1,1,0,q1,q1,0,1,1,plots
36,M,18,Black,TRUE,9,10,8,5,10,10,6,9,9,1,1,1,1,1,1,1,0,0,1,0,0,plots
37,M,FIXME,Black,TRUE,8,9,10,7,10,9,4,9,9,1,1,1,1,1,1,0,0,0,0,0,0,plots
38,F,20,Brown,FALSE,9,9,9,5,9,8,6,7,8,1,1,1,0,0,1,1,1,1,0,0,1,anti
39,F,21,Dark Brown / Curly,TRUE,8,10,9,5,9,9,6,9,9,1,1,1,1,1,1,1,q,1,1,0,1,plots
40,F,19,Light Brown / Blond,TRUE,8,9,10,8,9,10,7,8,9,1,1,1,1,1,1,q,q,q,0,0,0,plots
,Average,,,,8,9.540540541,8.891891892,6.459459459,9.405405405,8.648648649,5.810810811,8.486486486,8.621621622,,,,,,,,,,21,15,23,
,Median,,,,8,10,9,7,10,9,6,9,9,,,,,,,,,,,,,n = 32
